userid,pwd scheme,total logins,successful logins,unsuccessful logins,avg login time success (s),avg login time failed (s)
ast103,Text21,17,16,1.0,12.1875,18.0
ast104,Text21,26,16,10.0,11.9375,14.0
ast105,Text21,15,12,3.0,7.083333333333333,8.333333333333334
ast107,Text21,21,15,6.0,5.133333333333334,6.5
ast108,Text21,19,19,0.0,4.2105263157894735,
ast111,Text21,20,12,8.0,20.916666666666668,9.125
ast112,Text21,15,15,0.0,7.733333333333333,
ast114,Text21,22,15,7.0,11.133333333333333,9.857142857142858
ast115,Text21,15,15,0.0,11.2,
ast116,Text21,15,15,0.0,5.933333333333334,
ast118,Text21,16,15,1.0,7.8,9.0
ast125,Text21,18,15,3.0,6.4,6.0
ast131,Text21,21,15,6.0,12.066666666666666,22.5
ast133,Text21,9,9,0.0,14.555555555555555,
ast134,Text21,15,15,0.0,7.533333333333333,
ast135,Text21,4,3,1.0,7.333333333333333,5.0
ast136,Text21,15,15,0.0,10.333333333333334,
ast138,Text21,16,16,0.0,15.6875,
ipt101,Image21,32,16,16.0,11.375,28.125
ipt104,Image21,12,12,0.0,21.916666666666668,
ipt105,Image21,22,15,7.0,9.133333333333333,14.714285714285714
ipt106,Image21,20,14,6.0,12.071428571428571,9.5
ipt109,Image21,15,15,0.0,23.133333333333333,
ipt110,Image21,19,15,4.0,11.533333333333333,41.5
ipt113,Image21,29,17,12.0,10.529411764705882,8.833333333333334
ipt119,Image21,18,16,2.0,14.1875,8.5
ipt131,Image21,15,12,3.0,37.416666666666664,45.666666666666664
ipt133,Image21,15,14,1.0,14.785714285714286,6.0
ipt134,Image21,19,15,4.0,21.266666666666666,24.25
ipt136,Image21,18,15,3.0,12.466666666666667,17.333333333333332
ipt137,Image21,20,16,4.0,19.5625,22.0
ipt143,Image21,17,14,3.0,12.928571428571429,15.666666666666666
ipt145,Image21,16,15,1.0,24.733333333333334,34.0
